,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
189,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",cell wall,cerebral cortex,cytoplasm,nasal septum,inside nasal area skull nasal cavity divided halves nasal septum upper portion nasal septum formed perpendicular plate ethmoid bone lower portion vomer bone side nasal cavity triangular shape broad **inferior** space narrows superiorly looking nasal cavity front skull bony plates seen projecting lateral wall larger **inferior** nasal concha independent bone skull located **inferior** concha middle nasal concha part ethmoid bone third bony plate also part ethmoid bone superior nasal concha much smaller sight middle concha superior nasal concha located lateral perpendicular plate upper nasal cavity,"('inferior', 3)","('What narrows superiorly looking nasal cavity front skull bony plates?', 'inferior [TGT] space narrows superiorly looking nasal cavity front skull bony plates seen projecting lateral wall larger [TGT] inferior [TGT] nasal concha independent bone skull located [TGT] inferior', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What narrows superiorly looking nasal cavity front skull bony plates?,inferior  space narrows superiorly looking nasal cavity front skull bony plates seen projecting lateral wall larger  inferior  nasal concha independent bone skull located  inferior
190,"Bacteria can be chemotrophs, which obtain what by breaking down chemical compounds in their environment?",food,waste,chemials,energy,bacteria also chemotrophs chemosynthetic bacteria chemotrophs obtain energy breaking chemical compounds environment example chemicals broken bacteria **nitrogen** containing ammonia bacteria important help cycle **nitrogen** environment living things **nitrogen** cannot made living organisms must continually recycled organisms need **nitrogen** make organic compounds,"('nitrogen', 4)","('What is a broken bacteria?', 'nitrogen [TGT] containing ammonia bacteria important help cycle [TGT] nitrogen [TGT] environment living things [TGT] nitrogen [TGT] cannot made living organisms must continually recycled organisms need [TGT] nitrogen', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is a broken bacteria?,nitrogen  containing ammonia bacteria important help cycle  nitrogen  environment living things  nitrogen  cannot made living organisms must continually recycled organisms need  nitrogen
191,"Habitat loss, introduced species, overharvesting, and global change are major threats to what?",transportation,the earth's gravity,the sun,biodiversity,,none,,,
192,"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",pumps,funnels,tubes,valves,,none,,,
193,What do we call the cartilaginous structure that surrounds the notochrod?,membrane,osteocytes,clavicle,arcualia,distinctly differ adult form spending years suspension **feeders** attain sexual maturity adults reproduce within days lampreys possess notochord adults however notochord surrounded cartilaginous structure called arcualia resemble evolutionarily early form vertebral column,"('feeders', 1)","('What type of adult form spending years suspension?', 'feeders', ['Acrodont', 'Adult', 'Biped', 'Captive', 'Chordate', 'Creepy-crawly', 'Critter', 'Darter', 'Domestic Animal', 'Embryo', 'Feeder', 'Female', 'Fictional Animal', 'Game', 'Giant', 'Herbivore', 'Hexapod', 'Homeotherm', 'Insectivore', 'Invertebrate', 'Larva', 'Male', 'Marine Animal', 'Mate', 'Metazoan', 'Migrator', 'Molter', 'Mutant', 'Omnivore', 'Peeper', 'Pest', 'Pet', 'Pleurodont', 'Poikilotherm', 'Predator', 'Prey', 'Racer', 'Range Animal', 'Scavenger', 'Stayer', 'Stunt', 'Survivor', 'Thoroughbred', 'Varmint', 'Work Animal', 'Young', 'Zooplankton'], 'an animal that feeds on a particular source of food')",What type of adult form spending years suspension?,feeders
194,What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?,wind,grabation,evolution,pollination,,none,,,
195,"Despite its small size, an erythrocyte contains about 250 million molecules of what?",potassium,calcium,plasma,hemoglobin,,none,,,
196,How many variables are used to describe the condition of a gas?,three,five,one,four,recall kinetic molecular theory particles move randomly straight lines elastically collide either particles walls **container** collisions walls **container** defines pressure four variables used describe condition pressure volume temperature amount measured number moles examine separately volume temperature amount affect pressure enclosed sample,"('container', 2)","('What defines pressure four variables used describe condition pressure volume temperature amount?', 'container [TGT] collisions walls [TGT] container', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What defines pressure four variables used describe condition pressure volume temperature amount?,container  collisions walls  container
197,What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?,process,query,system,hypothesis,order explain observed phenomenon scientists develop number possible **explanation**s hypotheses hypothesis suggested **explanation** phenomenon suggested **explanation** relationship many phenomena hypotheses always based evidence tested observation experimentation scientific investigations required test hypotheses scientists mostly base hypotheses prior observations extensions existing scientific **explanation**s,"('explanation', 2)","('Hypotheses hypothesis suggested phenomenon suggested [TGT] relationship what?', 'explanation [TGT] s hypotheses hypothesis suggested [TGT] explanation [TGT] phenomenon suggested [TGT] explanation [TGT] relationship many phenomena hypotheses always based evidence tested observation experimentation scientific investigations required test hypotheses scientists mostly base hypotheses prior observations extensions existing scientific [TGT] explanation', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Hypotheses hypothesis suggested phenomenon suggested [TGT] relationship what?,explanation  s hypotheses hypothesis suggested  explanation  phenomenon suggested  explanation  relationship many phenomena hypotheses always based evidence tested observation experimentation scientific investigations required test hypotheses scientists mostly base hypotheses prior observations extensions existing scientific  explanation
198,Land plants are classified into two major groups according to the absence or presence of what tissue?,bacterial,disease,root,vascular,major divisions land **plants** land **plants** classified major groups according absence presence vascular tissue detailed figure **plants** lack vascular tissue formed specialized cells transport water nutrients referred nonvascular **plants** bryophytes liverworts mosses hornworts seedless nonvascular likely appeared early land plant evolution vascular **plants** developed network cells conduct water solutes plant body first vascular **plants** appeared late ordovician million years probably similar lycophytes include club mosses confused mosses pterophytes ferns horsetails whisk ferns lycophytes pterophytes referred seedless vascular **plants** produce seeds embryos stored food reserves protected hard casing seed **plants** form largest group existing **plants** hence dominate landscape seed **plants** include gymnosperms notably conifers produce naked,"('plants', 10)","('What does TGT stand for?', 'plants [TGT] land [TGT] plants [TGT] classified major groups according absence presence vascular tissue detailed figure [TGT] plants [TGT] lack vascular tissue formed specialized cells transport water nutrients referred nonvascular [TGT] plants [TGT] bryophytes liverworts mosses hornworts seedless nonvascular likely appeared early land plant evolution vascular [TGT] plants [TGT] developed network cells conduct water solutes plant body first vascular [TGT] plants [TGT] appeared late ordovician million years probably similar lycophytes include club mosses confused mosses pterophytes ferns horsetails whisk ferns lycophytes pterophytes referred seedless vascular [TGT] plants [TGT] produce seeds embryos stored food reserves protected hard casing seed [TGT] plants [TGT] form largest group existing [TGT] plants [TGT] hence dominate landscape seed [TGT] plants', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,plants  land  plants  classified major groups according absence presence vascular tissue detailed figure  plants  lack vascular tissue formed specialized cells transport water nutrients referred nonvascular  plants  bryophytes liverworts mosses hornworts seedless nonvascular likely appeared early land plant evolution vascular  plants  developed network cells conduct water solutes plant body first vascular  plants  appeared late ordovician million years probably similar lycophytes include club mosses confused mosses pterophytes ferns horsetails whisk ferns lycophytes pterophytes referred seedless vascular  plants  produce seeds embryos stored food reserves protected hard casing seed  plants  form largest group existing  plants  hence dominate landscape seed  plants
